Column,Year,Age,Sex,Participant,Casualty,Total
96,2005,18 - 20 years,Male,Pedestrians,Injured,24
97,2005,18 - 20 years,Male,Pedestrians,Killed,5
98,2005,18 - 20 years,Male,Pedal cyclists,Injured,9
99,2005,18 - 20 years,Male,Pedal cyclists,Killed,0
100,2005,18 - 20 years,Male,Other road users,Injured,45
101,2005,18 - 20 years,Male,Other road users,Killed,5
102,2005,18 - 20 years,Male,Motor cyclists,Injured,39
103,2005,18 - 20 years,Male,Motor cyclists,Killed,4
104,2005,18 - 20 years,Male,Car passengers,Injured,203
105,2005,18 - 20 years,Male,Car passengers,Killed,12
106,2005,18 - 20 years,Male,Car drivers,Injured,274
107,2005,18 - 20 years,Male,Car drivers,Killed,20
108,2005,18 - 20 years,Female,Pedestrians,Injured,24
109,2005,18 - 20 years,Female,Pedestrians,Killed,0
110,2005,18 - 20 years,Female,Pedal cyclists,Injured,0
111,2005,18 - 20 years,Female,Pedal cyclists,Killed,0
112,2005,18 - 20 years,Female,Other road users,Injured,10
113,2005,18 - 20 years,Female,Other road users,Killed,2
114,2005,18 - 20 years,Female,Motor cyclists,Injured,1
115,2005,18 - 20 years,Female,Motor cyclists,Killed,0
116,2005,18 - 20 years,Female,Car passengers,Injured,164
117,2005,18 - 20 years,Female,Car passengers,Killed,3
118,2005,18 - 20 years,Female,Car drivers,Injured,120
119,2005,18 - 20 years,Female,Car drivers,Killed,4
120,2005,21 - 24 years,Male,Pedestrians,Injured,37
121,2005,21 - 24 years,Male,Pedestrians,Killed,5
122,2005,21 - 24 years,Male,Pedal cyclists,Injured,11
123,2005,21 - 24 years,Male,Pedal cyclists,Killed,0
124,2005,21 - 24 years,Male,Other road users,Injured,95
125,2005,21 - 24 years,Male,Other road users,Killed,3
126,2005,21 - 24 years,Male,Motor cyclists,Injured,61
127,2005,21 - 24 years,Male,Motor cyclists,Killed,10
128,2005,21 - 24 years,Male,Car passengers,Injured,152
129,2005,21 - 24 years,Male,Car passengers,Killed,12
130,2005,21 - 24 years,Male,Car drivers,Injured,285
131,2005,21 - 24 years,Male,Car drivers,Killed,13
132,2005,21 - 24 years,Female,Pedestrians,Injured,30
133,2005,21 - 24 years,Female,Pedestrians,Killed,0
134,2005,21 - 24 years,Female,Pedal cyclists,Injured,5
135,2005,21 - 24 years,Female,Pedal cyclists,Killed,0
136,2005,21 - 24 years,Female,Other road users,Injured,14
137,2005,21 - 24 years,Female,Other road users,Killed,0
138,2005,21 - 24 years,Female,Motor cyclists,Injured,5
139,2005,21 - 24 years,Female,Motor cyclists,Killed,0
140,2005,21 - 24 years,Female,Car passengers,Injured,106
