,Column,Year,Age,Sex,Participant,Casualty,Total
0,0,2005,00 - 05 years,Male,Pedestrians,Injured,36
1,1,2005,00 - 05 years,Male,Pedestrians,Killed,3
2,2,2005,00 - 05 years,Male,Pedal cyclists,Injured,0
3,3,2005,00 - 05 years,Male,Pedal cyclists,Killed,0
4,4,2005,00 - 05 years,Male,Other road users,Injured,4
5,5,2005,00 - 05 years,Male,Other road users,Killed,0
6,6,2005,00 - 05 years,Male,Motor cyclists,Injured,0
7,7,2005,00 - 05 years,Male,Motor cyclists,Killed,0
8,8,2005,00 - 05 years,Male,Car passengers,Injured,52
9,9,2005,00 - 05 years,Male,Car passengers,Killed,0
10,10,2005,00 - 05 years,Male,Car drivers,Injured,1
11,11,2005,00 - 05 years,Male,Car drivers,Killed,0
12,12,2005,00 - 05 years,Female,Pedestrians,Injured,17
13,13,2005,00 - 05 years,Female,Pedestrians,Killed,0
14,14,2005,00 - 05 years,Female,Pedal cyclists,Injured,1
15,15,2005,00 - 05 years,Female,Pedal cyclists,Killed,0
16,16,2005,00 - 05 years,Female,Other road users,Injured,1
17,17,2005,00 - 05 years,Female,Other road users,Killed,0
18,18,2005,00 - 05 years,Female,Motor cyclists,Injured,0
19,19,2005,00 - 05 years,Female,Motor cyclists,Killed,0
20,20,2005,00 - 05 years,Female,Car passengers,Injured,53
21,21,2005,00 - 05 years,Female,Car passengers,Killed,0
22,22,2005,00 - 05 years,Female,Car drivers,Injured,0
23,23,2005,00 - 05 years,Female,Car drivers,Killed,0
24,24,2005,06 - 09 years,Male,Pedestrians,Injured,41
25,25,2005,06 - 09 years,Male,Pedestrians,Killed,1
26,26,2005,06 - 09 years,Male,Pedal cyclists,Injured,8
27,27,2005,06 - 09 years,Male,Pedal cyclists,Killed,0
28,28,2005,06 - 09 years,Male,Other road users,Injured,9
29,29,2005,06 - 09 years,Male,Other road users,Killed,0
30,30,2005,06 - 09 years,Male,Motor cyclists,Injured,1
31,31,2005,06 - 09 years,Male,Motor cyclists,Killed,0
32,32,2005,06 - 09 years,Male,Car passengers,Injured,37
33,33,2005,06 - 09 years,Male,Car passengers,Killed,0
34,34,2005,06 - 09 years,Male,Car drivers,Injured,0
35,35,2005,06 - 09 years,Male,Car drivers,Killed,0
36,36,2005,06 - 09 years,Female,Pedestrians,Injured,19
37,37,2005,06 - 09 years,Female,Pedestrians,Killed,0
38,38,2005,06 - 09 years,Female,Pedal cyclists,Injured,3
39,39,2005,06 - 09 years,Female,Pedal cyclists,Killed,0
40,40,2005,06 - 09 years,Female,Other road users,Injured,3
41,41,2005,06 - 09 years,Female,Other road users,Killed,0
42,42,2005,06 - 09 years,Female,Motor cyclists,Injured,0
43,43,2005,06 - 09 years,Female,Motor cyclists,Killed,0
44,44,2005,06 - 09 years,Female,Car passengers,Injured,37
45,45,2005,06 - 09 years,Female,Car passengers,Killed,0
46,46,2005,06 - 09 years,Female,Car drivers,Injured,0
47,47,2005,06 - 09 years,Female,Car drivers,Killed,0
48,48,2005,10 - 14 years,Male,Pedestrians,Injured,49
49,49,2005,10 - 14 years,Male,Pedestrians,Killed,3
50,50,2005,10 - 14 years,Male,Pedal cyclists,Injured,12
51,51,2005,10 - 14 years,Male,Pedal cyclists,Killed,0
52,52,2005,10 - 14 years,Male,Other road users,Injured,20
53,53,2005,10 - 14 years,Male,Other road users,Killed,0
54,54,2005,10 - 14 years,Male,Motor cyclists,Injured,1
55,55,2005,10 - 14 years,Male,Motor cyclists,Killed,0
56,56,2005,10 - 14 years,Male,Car passengers,Injured,52
57,57,2005,10 - 14 years,Male,Car passengers,Killed,1
58,58,2005,10 - 14 years,Male,Car drivers,Injured,1
59,59,2005,10 - 14 years,Male,Car drivers,Killed,0
60,60,2005,10 - 14 years,Female,Pedestrians,Injured,47
61,61,2005,10 - 14 years,Female,Pedestrians,Killed,1
62,62,2005,10 - 14 years,Female,Pedal cyclists,Injured,3
63,63,2005,10 - 14 years,Female,Pedal cyclists,Killed,0
64,64,2005,10 - 14 years,Female,Other road users,Injured,6
65,65,2005,10 - 14 years,Female,Other road users,Killed,0
66,66,2005,10 - 14 years,Female,Motor cyclists,Injured,0
67,67,2005,10 - 14 years,Female,Motor cyclists,Killed,0
68,68,2005,10 - 14 years,Female,Car passengers,Injured,46
69,69,2005,10 - 14 years,Female,Car passengers,Killed,0
70,70,2005,10 - 14 years,Female,Car drivers,Injured,0
71,71,2005,10 - 14 years,Female,Car drivers,Killed,0
72,72,2005,15 - 17 years,Male,Pedestrians,Injured,33
73,73,2005,15 - 17 years,Male,Pedestrians,Killed,4
74,74,2005,15 - 17 years,Male,Pedal cyclists,Injured,13
75,75,2005,15 - 17 years,Male,Pedal cyclists,Killed,0
76,76,2005,15 - 17 years,Male,Other road users,Injured,24
77,77,2005,15 - 17 years,Male,Other road users,Killed,3
78,78,2005,15 - 17 years,Male,Motor cyclists,Injured,37
79,79,2005,15 - 17 years,Male,Motor cyclists,Killed,1
80,80,2005,15 - 17 years,Male,Car passengers,Injured,86
81,81,2005,15 - 17 years,Male,Car passengers,Killed,3
82,82,2005,15 - 17 years,Male,Car drivers,Injured,50
83,83,2005,15 - 17 years,Male,Car drivers,Killed,4
84,84,2005,15 - 17 years,Female,Pedestrians,Injured,35
85,85,2005,15 - 17 years,Female,Pedestrians,Killed,5
86,86,2005,15 - 17 years,Female,Pedal cyclists,Injured,2
87,87,2005,15 - 17 years,Female,Pedal cyclists,Killed,0
88,88,2005,15 - 17 years,Female,Other road users,Injured,11
89,89,2005,15 - 17 years,Female,Other road users,Killed,2
90,90,2005,15 - 17 years,Female,Motor cyclists,Injured,6
91,91,2005,15 - 17 years,Female,Motor cyclists,Killed,0
92,92,2005,15 - 17 years,Female,Car passengers,Injured,87
93,93,2005,15 - 17 years,Female,Car passengers,Killed,4
94,94,2005,15 - 17 years,Female,Car drivers,Injured,13
95,95,2005,15 - 17 years,Female,Car drivers,Killed,0
96,96,2005,18 - 20 years,Male,Pedestrians,Injured,24
97,97,2005,18 - 20 years,Male,Pedestrians,Killed,5
98,98,2005,18 - 20 years,Male,Pedal cyclists,Injured,9
99,99,2005,18 - 20 years,Male,Pedal cyclists,Killed,0
100,100,2005,18 - 20 years,Male,Other road users,Injured,45
101,101,2005,18 - 20 years,Male,Other road users,Killed,5
102,102,2005,18 - 20 years,Male,Motor cyclists,Injured,39
103,103,2005,18 - 20 years,Male,Motor cyclists,Killed,4
104,104,2005,18 - 20 years,Male,Car passengers,Injured,203
105,105,2005,18 - 20 years,Male,Car passengers,Killed,12
106,106,2005,18 - 20 years,Male,Car drivers,Injured,274
107,107,2005,18 - 20 years,Male,Car drivers,Killed,20
108,108,2005,18 - 20 years,Female,Pedestrians,Injured,24
109,109,2005,18 - 20 years,Female,Pedestrians,Killed,0
110,110,2005,18 - 20 years,Female,Pedal cyclists,Injured,0
111,111,2005,18 - 20 years,Female,Pedal cyclists,Killed,0
112,112,2005,18 - 20 years,Female,Other road users,Injured,10
113,113,2005,18 - 20 years,Female,Other road users,Killed,2
114,114,2005,18 - 20 years,Female,Motor cyclists,Injured,1
115,115,2005,18 - 20 years,Female,Motor cyclists,Killed,0
116,116,2005,18 - 20 years,Female,Car passengers,Injured,164
117,117,2005,18 - 20 years,Female,Car passengers,Killed,3
118,118,2005,18 - 20 years,Female,Car drivers,Injured,120
119,119,2005,18 - 20 years,Female,Car drivers,Killed,4
120,120,2005,21 - 24 years,Male,Pedestrians,Injured,37
121,121,2005,21 - 24 years,Male,Pedestrians,Killed,5
122,122,2005,21 - 24 years,Male,Pedal cyclists,Injured,11
123,123,2005,21 - 24 years,Male,Pedal cyclists,Killed,0
124,124,2005,21 - 24 years,Male,Other road users,Injured,95
125,125,2005,21 - 24 years,Male,Other road users,Killed,3
126,126,2005,21 - 24 years,Male,Motor cyclists,Injured,61
127,127,2005,21 - 24 years,Male,Motor cyclists,Killed,10
128,128,2005,21 - 24 years,Male,Car passengers,Injured,152
129,129,2005,21 - 24 years,Male,Car passengers,Killed,12
130,130,2005,21 - 24 years,Male,Car drivers,Injured,285
131,131,2005,21 - 24 years,Male,Car drivers,Killed,13
132,132,2005,21 - 24 years,Female,Pedestrians,Injured,30
133,133,2005,21 - 24 years,Female,Pedestrians,Killed,0
134,134,2005,21 - 24 years,Female,Pedal cyclists,Injured,5
135,135,2005,21 - 24 years,Female,Pedal cyclists,Killed,0
136,136,2005,21 - 24 years,Female,Other road users,Injured,14
137,137,2005,21 - 24 years,Female,Other road users,Killed,0
138,138,2005,21 - 24 years,Female,Motor cyclists,Injured,5
139,139,2005,21 - 24 years,Female,Motor cyclists,Killed,0
140,140,2005,21 - 24 years,Female,Car passengers,Injured,106
141,141,2005,21 - 24 years,Female,Car passengers,Killed,5
142,142,2005,21 - 24 years,Female,Car drivers,Injured,213
143,143,2005,21 - 24 years,Female,Car drivers,Killed,6
144,144,2005,25 - 34 years,Male,Pedestrians,Injured,76
145,145,2005,25 - 34 years,Male,Pedestrians,Killed,4
146,146,2005,25 - 34 years,Male,Pedal cyclists,Injured,35
147,147,2005,25 - 34 years,Male,Pedal cyclists,Killed,3
148,148,2005,25 - 34 years,Male,Other road users,Injured,216
149,149,2005,25 - 34 years,Male,Other road users,Killed,6
150,150,2005,25 - 34 years,Male,Motor cyclists,Injured,147
151,151,2005,25 - 34 years,Male,Motor cyclists,Killed,18
152,152,2005,25 - 34 years,Male,Car passengers,Injured,113
153,153,2005,25 - 34 years,Male,Car passengers,Killed,8
154,154,2005,25 - 34 years,Male,Car drivers,Injured,518
155,155,2005,25 - 34 years,Male,Car drivers,Killed,19
156,156,2005,25 - 34 years,Female,Pedestrians,Injured,58
157,157,2005,25 - 34 years,Female,Pedestrians,Killed,2
158,158,2005,25 - 34 years,Female,Pedal cyclists,Injured,8
159,159,2005,25 - 34 years,Female,Pedal cyclists,Killed,0
160,160,2005,25 - 34 years,Female,Other road users,Injured,36
161,161,2005,25 - 34 years,Female,Other road users,Killed,2
162,162,2005,25 - 34 years,Female,Motor cyclists,Injured,13
163,163,2005,25 - 34 years,Female,Motor cyclists,Killed,1
164,164,2005,25 - 34 years,Female,Car passengers,Injured,149
165,165,2005,25 - 34 years,Female,Car passengers,Killed,4
166,166,2005,25 - 34 years,Female,Car drivers,Injured,448
167,167,2005,25 - 34 years,Female,Car drivers,Killed,10
168,168,2005,35 - 44 years,Male,Pedestrians,Injured,62
169,169,2005,35 - 44 years,Male,Pedestrians,Killed,2
170,170,2005,35 - 44 years,Male,Pedal cyclists,Injured,20
171,171,2005,35 - 44 years,Male,Pedal cyclists,Killed,1
172,172,2005,35 - 44 years,Male,Other road users,Injured,130
173,173,2005,35 - 44 years,Male,Other road users,Killed,4
174,174,2005,35 - 44 years,Male,Motor cyclists,Injured,92
175,175,2005,35 - 44 years,Male,Motor cyclists,Killed,12
176,176,2005,35 - 44 years,Male,Car passengers,Injured,59
177,177,2005,35 - 44 years,Male,Car passengers,Killed,3
178,178,2005,35 - 44 years,Male,Car drivers,Injured,304
179,179,2005,35 - 44 years,Male,Car drivers,Killed,16
180,180,2005,35 - 44 years,Female,Pedestrians,Injured,34
181,181,2005,35 - 44 years,Female,Pedestrians,Killed,1
182,182,2005,35 - 44 years,Female,Pedal cyclists,Injured,9
183,183,2005,35 - 44 years,Female,Pedal cyclists,Killed,0
184,184,2005,35 - 44 years,Female,Other road users,Injured,20
185,185,2005,35 - 44 years,Female,Other road users,Killed,0
186,186,2005,35 - 44 years,Female,Motor cyclists,Injured,8
187,187,2005,35 - 44 years,Female,Motor cyclists,Killed,0
188,188,2005,35 - 44 years,Female,Car passengers,Injured,84
189,189,2005,35 - 44 years,Female,Car passengers,Killed,4
190,190,2005,35 - 44 years,Female,Car drivers,Injured,277
191,191,2005,35 - 44 years,Female,Car drivers,Killed,2
192,192,2005,45 - 54 years,Male,Pedestrians,Injured,33
193,193,2005,45 - 54 years,Male,Pedestrians,Killed,4
194,194,2005,45 - 54 years,Male,Pedal cyclists,Injured,10
195,195,2005,45 - 54 years,Male,Pedal cyclists,Killed,0
196,196,2005,45 - 54 years,Male,Other road users,Injured,103
197,197,2005,45 - 54 years,Male,Other road users,Killed,2
198,198,2005,45 - 54 years,Male,Motor cyclists,Injured,41
199,199,2005,45 - 54 years,Male,Motor cyclists,Killed,6
200,200,2005,45 - 54 years,Male,Car passengers,Injured,37
201,201,2005,45 - 54 years,Male,Car passengers,Killed,1
202,202,2005,45 - 54 years,Male,Car drivers,Injured,205
203,203,2005,45 - 54 years,Male,Car drivers,Killed,8
204,204,2005,45 - 54 years,Female,Pedestrians,Injured,30
205,205,2005,45 - 54 years,Female,Pedestrians,Killed,0
206,206,2005,45 - 54 years,Female,Pedal cyclists,Injured,6
207,207,2005,45 - 54 years,Female,Pedal cyclists,Killed,0
208,208,2005,45 - 54 years,Female,Other road users,Injured,14
209,209,2005,45 - 54 years,Female,Other road users,Killed,1
210,210,2005,45 - 54 years,Female,Motor cyclists,Injured,4
211,211,2005,45 - 54 years,Female,Motor cyclists,Killed,1
212,212,2005,45 - 54 years,Female,Car passengers,Injured,65
213,213,2005,45 - 54 years,Female,Car passengers,Killed,3
214,214,2005,45 - 54 years,Female,Car drivers,Injured,219
215,215,2005,45 - 54 years,Female,Car drivers,Killed,5
216,216,2005,55 - 64 years,Male,Pedestrians,Injured,42
217,217,2005,55 - 64 years,Male,Pedestrians,Killed,7
218,218,2005,55 - 64 years,Male,Pedal cyclists,Injured,11
219,219,2005,55 - 64 years,Male,Pedal cyclists,Killed,1
220,220,2005,55 - 64 years,Male,Other road users,Injured,52
221,221,2005,55 - 64 years,Male,Other road users,Killed,3
222,222,2005,55 - 64 years,Male,Motor cyclists,Injured,6
223,223,2005,55 - 64 years,Male,Motor cyclists,Killed,2
224,224,2005,55 - 64 years,Male,Car passengers,Injured,25
225,225,2005,55 - 64 years,Male,Car passengers,Killed,0
226,226,2005,55 - 64 years,Male,Car drivers,Injured,149
227,227,2005,55 - 64 years,Male,Car drivers,Killed,9
228,228,2005,55 - 64 years,Female,Pedestrians,Injured,23
229,229,2005,55 - 64 years,Female,Pedestrians,Killed,4
230,230,2005,55 - 64 years,Female,Pedal cyclists,Injured,2
231,231,2005,55 - 64 years,Female,Pedal cyclists,Killed,1
232,232,2005,55 - 64 years,Female,Other road users,Injured,8
233,233,2005,55 - 64 years,Female,Other road users,Killed,0
234,234,2005,55 - 64 years,Female,Motor cyclists,Injured,2
235,235,2005,55 - 64 years,Female,Motor cyclists,Killed,0
236,236,2005,55 - 64 years,Female,Car passengers,Injured,57
237,237,2005,55 - 64 years,Female,Car passengers,Killed,0
238,238,2005,55 - 64 years,Female,Car drivers,Injured,127
239,239,2005,55 - 64 years,Female,Car drivers,Killed,6
240,240,2005,65 years and over,Male,Pedestrians,Injured,53
241,241,2005,65 years and over,Male,Pedestrians,Killed,12
242,242,2005,65 years and over,Male,Pedal cyclists,Injured,7
243,243,2005,65 years and over,Male,Pedal cyclists,Killed,2
244,244,2005,65 years and over,Male,Other road users,Injured,22
245,245,2005,65 years and over,Male,Other road users,Killed,1
246,246,2005,65 years and over,Male,Motor cyclists,Injured,6
247,247,2005,65 years and over,Male,Motor cyclists,Killed,0
248,248,2005,65 years and over,Male,Car passengers,Injured,28
249,249,2005,65 years and over,Male,Car passengers,Killed,4
250,250,2005,65 years and over,Male,Car drivers,Injured,155
251,251,2005,65 years and over,Male,Car drivers,Killed,15
252,252,2005,65 years and over,Female,Pedestrians,Injured,60
253,253,2005,65 years and over,Female,Pedestrians,Killed,8
254,254,2005,65 years and over,Female,Pedal cyclists,Injured,1
255,255,2005,65 years and over,Female,Pedal cyclists,Killed,1
256,256,2005,65 years and over,Female,Other road users,Injured,10
257,257,2005,65 years and over,Female,Other road users,Killed,0
258,258,2005,65 years and over,Female,Motor cyclists,Injured,3
259,259,2005,65 years and over,Female,Motor cyclists,Killed,0
260,260,2005,65 years and over,Female,Car passengers,Injured,73
